longitude,latitude ,station,lines_serviced,system ,open_date,initial_expected_open_date,initial_DEIS_date
-77.05328,39.0617,Glenmont,Red,WMATA ,7/25/98,NA,NA
-77.1689,38.76636,Franconia-Springfield,Blue,WMATA ,6/29/97,NA,NA
-76.92776,38.97848,College Park-U of Md,"Green, Purple",WMATA ,12/11/93,NA,NA
-76.91123,39.01114,Greenbelt,Green,WMATA ,12/11/93,NA,NA
-76.95628683,38.9656112,Hyattsville Crossing,Green,WMATA ,12/11/93,NA,NA
-76.96902668,38.95569953,West Hyattsville,Green,WMATA ,12/11/93,NA,NA
-76.99528,38.86238,Anacostia,Green,WMATA ,12/28/91,NA,NA
-77.00403949,38.87701944,Navy Yard-Ballpark,Green ,WMATA ,12/28/91,NA,NA
-77.01692567,38.87731705,Waterfront,Green,WMATA ,12/28/91,NA,NA
-77.12923,38.79952,Van Dorn Street,Blue,WMATA ,6/15/91,NA,NA
-77.02189219,38.90547016,Mt Vernon Sq 7th St-Convention Center,"Green, Yellow",WMATA ,5/11/91,NA,NA
-77.02150951,38.91457909,Shaw-Howard U,Green ,WMATA ,5/11/91,NA,NA
-77.02822894,38.91733591,U Street/African-American Civil War Memorial/Cardozo,Green,WMATA ,5/11/91,NA,NA
-77.04264,39.01563,Forest Glen,Red,WMATA ,9/22/90,NA,NA
-77.05014925,39.03912566,Wheaton,Red,WMATA ,9/22/90,NA,NA
-77.22723,38.88416,Dunn Loring-Merrifield,Orange,WMATA ,6/7/86,NA,NA
-77.15701,38.88629,East Falls Church,"Orange, Silver",WMATA ,6/7/86,NA,NA
-77.27218205,38.8776834,Vienna/Fairfax-GMU,Orange,WMATA ,6/7/86,NA,NA
-77.18885463,38.90102256,West Falls Church ,Orange,WMATA ,6/7/86,NA,NA
-77.11252571,39.04801228,North Bethesda,Red,WMATA ,12/15/84,NA,NA
-77.14609,39.08439,Rockville,Red,WMATA ,12/15/84,NA,NA
-77.16391,39.12032,Shady Grove,Red,WMATA ,12/15/84,NA,NA
-77.11989467,39.06274493,Twinbrook ,Red,WMATA ,12/15/84,NA,NA
-77.09403,38.98436,Bethesda,"Red, Purple",WMATA ,8/25/84,NA,NA
-77.08573,38.9611,Friendship Heights,Red,WMATA ,8/25/84,NA,NA
