inflows,outflows,flows,out_scaled,in_scaled,flow_scaled,population,tract
10777,29881,-19104,7.33816306483301,2.64661100196464,-4.69155206286837,4072,11001002002
13742,40136,-26394,7.05749956040091,2.41638825391243,-4.64111130648848,5687,11001002101
10991,35041,-24050,6.87213179054717,2.15552069033144,-4.71661110021573,5099,11001002102
2638,26737,-24099,7.67202295552367,0.756958393113343,-6.91506456241033,3485,11001002201
1621,23892,-22271,7.15543575920934,0.485474693021863,-6.66996106618748,3339,11001002202
1651,24476,-22825,7.49418248622168,0.505511328842621,-6.98867115737906,3266,11001002301
158522,9335,149187,5.29795686719637,89.9670828603859,84.6691259931896,1762,11001002302
4768,31018,-26250,7.57460317460317,1.16434676434676,-6.41025641025641,4095,11001002400
19682,20607,-925,7.66629464285714,7.32217261904762,-0.344122023809524,2688,11001002501
9442,19418,-9976,6.40646651270208,3.11514351699109,-3.29132299571099,3031,11001002503
2140,27082,-24942,8.08659301283965,0.638996715437444,-7.44759629740221,3349,11001002504
2617,17034,-14417,6.57175925925926,1.0096450617284,-5.56211419753086,2592,11001002600
9026,43786,-34760,7.51690987124464,1.54952789699571,-5.96738197424893,5825,11001002702
4148,22044,-17896,8.43305279265494,1.58684009181331,-6.84621270084162,2614,11001002703
3276,21049,-17773,7.0327430671567,1.09455395923822,-5.93818910791848,2993,11001002704
3679,30475,-26796,6.92928603910869,0.836516598453843,-6.09276944065484,4398,11001002801
24470,32605,-8135,6.95944503735326,5.2230522945571,-1.73639274279616,4685,11001002802
10722,34596,-23874,7.78663065496286,2.41323430114787,-5.37339635381499,4443,11001002900
4420,27185,-22765,7.63409154731817,1.24122437517551,-6.39286717214266,3561,11001003000
12010,28203,-16193,7.28195197521301,3.10095533178415,-4.18099664342887,3873,11001003100
3003,37959,-34956,7.4444008629143,0.588939007648559,-6.85546185526574,5099,11001003200
2647,26882,-24235,7.02981171548117,0.692207112970711,-6.33760460251046,3824,11001003301
8152,19491,-11339,8.00780608052588,3.34921939194741,-4.65858668857847,2434,11001003302
33928,21806,12122,4.258984375,6.6265625,2.367578125,5120,11001003400
8993,23481,-14488,4.89085607165174,1.87315142678609,-3.01770464486565,4801,11001003500
6232,38008,-31776,7.95979057591623,1.30513089005236,-6.65465968586388,4775,11001003600
2735,20222,-17487,6.93484224965707,0.937928669410151,-5.99691358024691,2916,11001003701
1872,20736,-18864,7.13558155540262,0.644184445973847,-6.49139710942877,2906,11001003702
10434,14085,-3651,7.825,5.79666666666667,-2.02833333333333,1800,11001003801
19247,28562,-9315,7.30299156226029,4.92124776272053,-2.38174379953976,3911,11001003802
5446,23128,-17682,8.9022324865281,2.09622786759045,-6.80600461893764,2598,11001003901
1808,19278,-17470,9.53412462908012,0.894164193867458,-8.63996043521266,2022,11001003902
5980,31531,-25551,8.00076122811469,1.51738137528546,-6.48337985282923,3941,11001004001
36175,26860,9315,8.16165299301124,10.9920996657551,2.83044667274385,3291,11001004002
9938,18801,-8863,6.62940761636107,3.50423131170663,-3.12517630465444,2836,11001004100
21825,32366,-10541,9.12232243517475,6.15135287485908,-2.97096956031567,3548,11001004201
32825,24438,8387,8.57473684210526,11.5175438596491,2.94280701754386,2850,11001004202
21285,32026,-10741,7.21956717763751,4.79824165915239,-2.42132551848512,4436,11001004300
