inflows,outflows,flows,out_scaled,in_scaled,flow_scaled,population,tract
1495,1612,-117,0.500621118012422,0.464285714285714,-0.0363354037267081,3220,11001008301
1431,1571,-140,0.519167217448777,0.472901520158625,-0.046265697290152,3026,11001008302
635,1217,-582,0.497343686146302,0.259501430322844,-0.237842255823457,2447,11001008402
592,1042,-450,0.565382528486164,0.321215409658166,-0.244167118827998,1843,11001008410
1146,1499,-353,0.532693674484719,0.40724946695096,-0.12544420753376,2814,11001008701
553,2003,-1450,0.560436485730274,0.154728595411304,-0.40570789031897,3574,11001008702
522,2314,-1792,0.530733944954128,0.119724770642202,-0.411009174311927,4360,11001008802
1714,1136,578,0.281466798810704,0.424677898909812,0.143211100099108,4036,11001008803
51,1268,-1217,0.524617294166322,0.0211005378568473,-0.503516756309475,2417,11001008804
79,1586,-1507,0.51796211626388,0.0258001306335728,-0.492161985630307,3062,11001008903
182,1764,-1582,0.562320688555945,0.0580172138986293,-0.504303474657316,3137,11001008904
438,1642,-1204,0.351154833190761,0.0936698032506416,-0.25748502994012,4676,11001009000
1891,2138,-247,0.463975694444445,0.410373263888889,-0.0536024305555556,4608,11001009102
1427,1366,61,0.440219142765066,0.459877537866581,0.0196583951015147,3103,11001009201
80,1694,-1614,0.61045045045045,0.0288288288288288,-0.581621621621622,2775,11001009203
933,1311,-378,0.453790238836968,0.322949117341641,-0.130841121495327,2889,11001009204
1525,1681,-156,0.436283415520374,0.395795484038412,-0.0404879314819621,3853,11001009301
1043,1088,-45,0.621714285714286,0.596,-0.0257142857142857,1750,11001009302
285,2047,-1762,0.462703435804702,0.0644213381555154,-0.398282097649186,4424,11001009400
640,1434,-794,0.461687057308435,0.206052801030264,-0.255634256278171,3106,11001009503
2453,1583,870,0.493453865336658,0.764650872817955,0.271197007481297,3208,11001009504
1086,1756,-670,0.46259220231823,0.28609062170706,-0.17650158061117,3796,11001009505
33,882,-849,0.578360655737705,0.0216393442622951,-0.55672131147541,1525,11001009507
633,1883,-1250,0.443789771388169,0.149186896064106,-0.294602875324063,4243,11001009508
187,1573,-1386,0.492485911083281,0.0585472761427677,-0.433938634940514,3194,11001009509
182,1556,-1374,0.343867403314917,0.0402209944751381,-0.303646408839779,4525,11001009510
3819,680,3139,0.329138431752178,1.84849951597289,1.51936108422072,2066,11001009511
462,1035,-573,0.496164908916587,0.221476510067114,-0.274688398849473,2086,11001009601
140,1925,-1785,0.429591609015845,0.0312430261102433,-0.398348582905601,4481,11001009602
486,1792,-1306,0.451271719969781,0.122387307982876,-0.328884411986905,3971,11001009603
83,1015,-932,0.508517034068136,0.0415831663326653,-0.466933867735471,1996,11001009604
123,1425,-1302,0.446988707653701,0.0385821831869511,-0.40840652446675,3188,11001009700
188,782,-594,0.423160173160173,0.101731601731602,-0.321428571428571,1848,11001009801
59,808,-749,0.391472868217054,0.0285852713178295,-0.362887596899225,2064,11001009802
176,1231,-1055,0.414757412398922,0.0592991913746631,-0.355458221024259,2968,11001009803
70,1239,-1169,0.492252681764005,0.0278108859753675,-0.464441795788637,2517,11001009804
134,1463,-1329,0.415271075787681,0.0380357649730343,-0.377235310814647,3523,11001009807
51,1103,-1052,0.44819179195449,0.020723283218204,-0.427468508736286,2461,11001009810
497,1794,-1297,0.404236142406489,0.11198738170347,-0.292248760703019,4438,11001009811
685,1084,-399,0.458544839255499,0.289763113367174,-0.168781725888325,2364,11001009901
175,1405,-1230,0.50648882480173,0.0630857966834895,-0.443403028118241,2774,11001009902
159,1011,-852,0.504491017964072,0.0793413173652695,-0.425149700598802,2004,11001009903
42,1339,-1297,0.463963963963964,0.0145530145530146,-0.449410949410949,2886,11001009904
60,1257,-1197,0.450537634408602,0.021505376344086,-0.429032258064516,2790,11001009905
69,816,-747,0.460236886632826,0.038917089678511,-0.421319796954315,1773,11001009906
196,1180,-984,0.522355024347056,0.0867640548915449,-0.435590969455511,2259,11001009907
11033,1426,9607,0.528343831048537,4.08781030011115,3.55946646906262,2699,11001010100
713,1205,-492,0.360670457946723,0.213409158934451,-0.147261299012272,3341,11001010201
11132,1323,9809,0.50285062713797,4.2310908399848,3.72824021284683,2631,11001010202
475,1743,-1268,0.483629300776915,0.131798002219756,-0.351831298557159,3604,11001010300
2754,1623,1131,0.351603119584055,0.596620450606586,0.24501733102253,4616,11001010400
89,1848,-1759,0.497844827586207,0.0239762931034483,-0.473868534482759,3712,11001010500
16,80,-64,0.0375586854460094,0.00751173708920188,-0.0300469483568075,2130,11001010601
1996,5117,-3121,0.776008492569002,0.302699423718532,-0.47330906885047,6594,11001010602
1364,28,1336,0.0091264667535854,0.444589308996089,0.435462842242503,3068,11001010603
